#deck:Linux Mastery::Module 1 - Filesystem::Demo 01 - FHS
#separator:Comma
#columns:Front,Back,Tags

"A service fails after a config change. Before touching anything, what is the first place you check and why?","Check /var/log first — journalctl -u servicename or the service text log file. The log shows the exact error. Look here before changing any config — the actual problem may be different from what you assume.","demo01,fhs,troubleshooting"

"You run df -h /proc and see Size: 0, Use%: -. What does this tell you and why can you not calculate a percentage?","/proc is a virtual filesystem. The kernel generates its contents dynamically on demand — nothing is stored on disk or in RAM. Size is literally 0. Use% shows - because percentage is mathematically undefined for a zero-size filesystem. This is correct, not an error.","demo01,fhs,proc,virtual"

"What is the difference between /proc (virtual) and /run (tmpfs)? Give one operational example of each.","Virtual (/proc, /sys, /dev): kernel generates content on demand, nothing stored, size 0, you cannot create arbitrary files. Operational: cat /proc/meminfo — kernel computes memory stats at that moment. tmpfs (/run, /tmp): RAM-backed storage, you write normally, cleared on reboot. Operational: /run/docker.sock — Docker daemon creates this socket on startup, gone after reboot.","demo01,fhs,virtual,tmpfs"

"Install kubectl manually. Where does it go and why? What happens if you put it in /usr/bin instead?","Goes in /usr/local/bin/ — the package manager (apt/dnf) never touches this directory. If you put it in /usr/bin/, a future apt upgrade or dnf update can overwrite it with a packaged version, breaking your pinned version silently.","demo01,fhs,usrlocalbin,tools"

"Rocky9 has no /var/log/syslog. Where are the logs and how do you read them?","Rocky Linux 9 (RHEL-family) uses journald as the only logging system. Logs go to the binary journal at /var/log/journal/. Read them with: journalctl (all logs), journalctl -u nginx (service logs), journalctl -f (follow live). Ubuntu runs both journald AND rsyslog, which writes text files.","demo01,fhs,logging,rocky,ubuntu"

"file /usr/bin/ls shows ELF on Ubuntu but shows a coreutils script on Rocky9. Why? Are they functionally different?","Rocky Linux uses a multi-call binary — all coreutils commands (ls, cp, mv, cat) are compiled into one binary called coreutils. Each command is a wrapper script that calls coreutils with its name. Ubuntu compiles each command as a separate ELF binary. Functionally identical — just a packaging decision for space efficiency.","demo01,fhs,file,coreutils,rocky"

"A deploy script fails because it cannot find config at /etc/app/app.conf. find locates it at /opt/app/config/app.conf. What does the /opt location tell you about how this was installed?","/opt is for self-contained third-party vendor packages that install everything (binary, config, data, libraries) in one directory tree. The file is in /opt because a vendor installer packaged it that way — not split across /etc, /usr, /var as FHS standard expects. The script was written expecting FHS convention. One must be updated to match the other.","demo01,fhs,opt,break-fix"

"What does statically linked mean in file command output? Why does kubectl being statically linked matter for DevOps?","Statically linked means all required libraries are compiled into the binary itself. No external dependencies. kubectl runs on any Linux system regardless of which shared libraries are installed. This is why you can drop the kubectl binary into a minimal container or a fresh server and it just works — no library version conflicts.","demo01,fhs,file,static,kubectl"
